[INFO] 2025-09-06 12:52:09,603 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 6132
[INFO] 2025-09-06 12:52:13,064 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:52:13,115 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26564
[INFO] 2025-09-06 12:52:16,417 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25636
[INFO] 2025-09-06 12:52:20,146 | django.server | log_message:213 | "GET /manage/database-permissions/ HTTP/1.1" 200 38531
[INFO] 2025-09-06 12:52:27,258 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:52:27,262 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5767
[INFO] 2025-09-06 12:52:36,554 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 5808
[INFO] 2025-09-06 12:52:41,225 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 5808
[INFO] 2025-09-06 12:52:49,026 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 6946
[INFO] 2025-09-06 12:52:57,139 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\urls.py changed, reloading.
[INFO] 2025-09-06 12:52:57,611 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:52:58,821 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:52:58,880 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26564
[INFO] 2025-09-06 12:53:02,631 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25636
[ERROR] 2025-09-06 12:53:18,195 | django.server | log_message:213 | "GET /manage/users/8/edit/ HTTP/1.1" 500 110416
[INFO] 2025-09-06 12:53:21,915 | django.server | log_message:213 | "GET /manage/users/8/reset-password/ HTTP/1.1" 200 7880
[INFO] 2025-09-06 12:53:25,437 | django.server | log_message:213 | "GET /manage/users/8/ HTTP/1.1" 200 11008
[INFO] 2025-09-06 12:54:31,375 | django.server | log_message:213 | "GET /log-files/ HTTP/1.1" 200 20120
[INFO] 2025-09-06 12:54:35,351 | django.server | log_message:213 | "GET /manage/logs/stats/ HTTP/1.1" 200 19944
[INFO] 2025-09-06 12:54:49,160 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 37061
[INFO] 2025-09-06 12:55:19,330 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36966
[INFO] 2025-09-06 12:55:49,405 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36881
[INFO] 2025-09-06 12:56:19,493 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36930
[INFO] 2025-09-06 12:56:49,568 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36618
[INFO] 2025-09-06 12:56:57,331 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36609
[INFO] 2025-09-06 12:56:59,731 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25636
[INFO] 2025-09-06 12:57:05,889 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:57:05,896 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5767
[INFO] 2025-09-06 12:57:12,259 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 5808
[INFO] 2025-09-06 12:57:21,254 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 5808
[INFO] 2025-09-06 12:57:26,499 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 6946
[INFO] 2025-09-06 12:57:31,336 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:57:31,382 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26564
[INFO] 2025-09-06 12:57:33,655 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25767
[INFO] 2025-09-06 12:57:38,410 | django.server | log_message:213 | "GET /manage/users/8/ HTTP/1.1" 200 11963
[INFO] 2025-09-06 12:57:45,562 | django.server | log_message:213 | "POST /manage/users/8/unlock/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:57:45,603 | django.server | log_message:213 | "GET /manage/users/8/ HTTP/1.1" 200 11574
[INFO] 2025-09-06 12:57:49,150 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25636
[INFO] 2025-09-06 12:58:06,490 | django.server | log_message:213 | "GET /manage/database-permissions/ HTTP/1.1" 200 38531
[INFO] 2025-09-06 13:01:04,511 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:01:04,961 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:01:14,553 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:01:15,001 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:01:27,666 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:01:28,091 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:01:38,696 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:01:39,197 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:01:47,815 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:01:48,285 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:02:20,194 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:02:20,728 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:02:35,424 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:02:35,865 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:03:01,836 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:03:01,845 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5767
[INFO] 2025-09-06 13:03:05,865 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:03:05,921 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26564
[INFO] 2025-09-06 13:03:16,525 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25636
[INFO] 2025-09-06 13:03:20,206 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:03:20,210 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5767
[INFO] 2025-09-06 13:03:27,522 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 200 5808
[INFO] 2025-09-06 13:03:31,474 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:03:31,519 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26564
[INFO] 2025-09-06 13:03:38,598 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 25868
[INFO] 2025-09-06 13:03:44,877 | django.server | log_message:213 | "GET /manage/users/8/reset-password/ HTTP/1.1" 200 7880
[INFO] 2025-09-06 13:03:55,269 | django.server | log_message:213 | "POST /manage/users/8/reset-password/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:03:55,316 | django.server | log_message:213 | "GET /manage/users/8/ HTTP/1.1" 200 11714
[INFO] 2025-09-06 13:03:59,703 | django.server | log_message:213 | "GET /manage/users/8/edit/ HTTP/1.1" 200 9471
[INFO] 2025-09-06 13:04:02,500 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:04:02,504 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5767
[INFO] 2025-09-06 13:04:11,320 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:04:11,367 | django.server | log_message:213 | "GET / HTTP/1.1" 200 15986
